country,total_medals
Norway,133
Spain,174
Russia,470
Belarus,73
France,283
Australia,351
United States,944
Tajikistan,4
Turkey,20
Romania,54
Argentina,92
Cuba,72
New Zealand,78
Nigeria,41
Great Britain,359
Italy,199
Netherlands,212
Ukraine,77
Lithuania,17
Brazil,175
Germany,419
Armenia,13
South Korea,187
North Korea,19
Denmark,71
Poland,67
Trinidad and Tobago,17
Canada,321
Japan,215
Switzerland,66
Iceland,14
Sweden-2,2
Bahamas,17
China,423
Ireland,11
Azerbaijan,35
Kyrgyzstan,2
Greece,17
Ethiopia,22
Hungary,75
Sweden,124
Morocco,4
Algeria,5
India,11
Jamaica,69
Thailand,13
Belgium,29
Togo,1
United States-1,34
Kenya,39
China-1,22
Elvis Va,1
Serbia,85
Chinese Taipei,11
Kazakhstan,46
Venezuela,5
Zimbabwe,4
Slovenia,25
Dominican Republic,5
Bulgaria,14
Brazil-2,2
Estonia,10
Mongolia,11
Mexico,33
Portugal,5
Brazil-1,10
Singapore,8
Uzbekistan,22
Georgia,20
Moldova,3
Chile,1
Finland,91
Don Schufro,1
Vietnam,3
Slovakia,27
South Korea-1,10
Indonesia,7
Sudan,1
Clearwater,1
Austria,54
Mauritius,1
Bonaparte,1
Indonesia-1,6
Czech Republic,52
Latvia,10
Malaysia,11
Cameroon,1
Spain-1,2
Tunisia,7
Nadine,1
Egypt,6
Iran,22
South Africa,33
Afghanistan,2
Croatia,68
Ecuador,1
Colombia,18
Panama,1
Sunrise,1
Salinero,1
China-2,8
Satchmo,1
United States-2,12
Digby,1
Israel,3
Germany-2,4
Canada-1,12
Canada-2,2
Russia-1,16
Germany-1,16
Austria-1,4
Latvia-1,10
Qatar,3
Kuwait,1
Saudi Arabia,4
Botswana,1
Great Britain-1,2
Montenegro,14
Guatemala,1
France-2,2
Puerto Rico,3
Great Britain-2,2
Japan-1,2
Czech Republic-1,4
Bahrain,3
Grenada,2
Uganda,1
Cyprus,1
Hong Kong,1
France-1,2
Denmark-1,2
Gabon,1
Switzerland-1,2
Russia-2,4
Jordan,1
Individual Olympic Athletes,2
Niger,1
Netherlands-1,2
Cote d'Ivoire,2
Fiji,13
Philippines,1
Kosovo,1
Spain-2,2
Italy-1,2
Burundi,1
United Arab Emirates,1
